;SW:5QE-909-059-G   HW:5QE-909-059-B ---  Brake Booster
;Component:EBKV          H14 0211, Coding:06720100321900010002000500
;EV_BrakeBoostBoschMQBOMG,004003,EV_BrakeBoostBoschMQBOMG_004_VW37.rod
;Thursday,01,May,2025,22:24:32:16365
;VCDS Version: Release 25.3.1  Data version: 20250415 DS365.0
;VCID: 52FD7A55A46CBF4A69E-8006

IDE08581-Recuperation,active ,1
IDE11447-electro-mechanical brake booster,active ,1
IDE11985-Expected OBD requirements,NO OBD ,1
IDE80011-MAS05513-Analysis 11-Bit 0,OFF ,1
IDE80011-MAS05514-Analysis 11-Bit 1,OFF ,1
IDE80011-MAS05515-Analysis 11-Bit 2,OFF ,1
IDE80011-MAS05516-Analysis 11-Bit 3,OFF ,1
IDE80011-MAS05517-Analysis 11-Bit 4,OFF ,1
IDE80011-MAS05518-Analysis 11-Bit 5,OFF ,1
IDE80011-MAS05519-Analysis 11-Bit 6,OFF ,1
IDE80011-MAS05520-Analysis 11-Bit 7,OFF ,1
IDE80012-MAS05513-Analysis 12-Bit 0,OFF ,1
IDE80012-MAS05514-Analysis 12-Bit 1,OFF ,1
IDE80012-MAS05515-Analysis 12-Bit 2,OFF ,1
IDE80012-MAS05516-Analysis 12-Bit 3,OFF ,1
IDE80012-MAS05517-Analysis 12-Bit 4,OFF ,1
IDE80012-MAS05518-Analysis 12-Bit 5,OFF ,1
IDE80012-MAS05519-Analysis 12-Bit 6,OFF ,1
IDE80012-MAS05520-Analysis 12-Bit 7,OFF ,1
IDE80013-Analysis 13,00 00 00 ,3
IDE80015-Analysis 15,On ,1
IDE80016-Analysis 16,On ,1
IDE80017-Analysis 17,On ,1
IDE80018-Analysis 18,OFF ,1
IDE80019-Analysis 19,00 00 00 00 ,4
IDE80020-Analysis 20,00 00 00 00 ,4


Elapsed Time: 00:03
